appId,name,2026/01/17,2026/01/18,2026/01/19,2026/01/20,2026/01/21,2026/01/22,2026/01/23,total_7days
PLHlBUoS9YGvjynpriJsvickln4JUE0I,游戏导航员,5,3,11,5,4,8,2,38
CCAQElsFN5hgow5FYfI30VZ0Hwzq9V12,游戏收藏家,1,5,10,11,1,1,5,34
7M3vjYscauO7PKszxkCMUa6NKTA2tg5u,游戏天地,0,0,0,0,0,0,0,0
MGKTdgs2Jf5dXHtEupvHEBdjTLxV7RJT,游戏工厂,0,0,0,0,0,0,0,0
yEReAZx0FCwmbro2mSIgrEnGAzrlot4g,游戏集市,0,0,0,0,0,0,0,0
5r348jumd1WAht4yt8WfkCfBodwQXGZB,游戏探索者,1,9,3,1,3,3,4,24
trgFruiJhKued6E9UMIuIeFunVYKH4Eq,游戏百宝箱,7,7,3,9,3,9,8,46
uRUhgJEjmzQotzoYXTVSYLnDv8KFjEZj,游戏资源集,4,13,3,4,6,2,1,33
AZF8O1Wu4Sbpz5HLKR0TGRtUSsSWrtFP,游戏世界,6,4,5,3,4,4,2,28
Q2HwMDFjpLYi6G3YkDQV0MAsEbTvKZiO,游戏资源库,2,1,2,1,5,1,1,13
HWRV0e1xXOSE31JtlljIWE4ZfY2KrKXj,游戏云空间,4,4,1,10,3,2,2,26
fs4If5yOUl17ujIHm5kAqUU3FUltbWyY,游戏宝库,3,1,0,3,2,2,6,17
y5peCo3rqp683nNJO9NBdMXGwK4suUUi,游戏分享站,0,4,2,0,3,5,2,16
FAgTrHEghpR72dsBJpa9jssCBygNr9gR,游戏智囊团,2,2,2,5,1,2,4,18
n7OUCU8wf120n1uX24LD0KpmXRHSaqkx,游戏宝藏猎人,2,3,6,3,4,3,2,23
Xewd411Hn2QaJNLNoy7S6btWAJ36CwYU,游戏情报站,2,1,1,1,2,1,0,8
总计,所有 Agent,39,57,49,56,41,43,39,324
